Cruise,Station,lon,lat,z,pres,temp,sal,theta,sigma,o2
SR04_06AQANTIX_2,95,342.7367,-69.0767,2767.159,2814.0003433859383,-0.2189,34.659302,-0.38192165750225443,27.850459748773346,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2771.066,2817.9995351882735,-0.2199,34.659698,-0.3832265406752372,27.850842265470874,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2774.974,2821.999823035181,-0.2199,34.659,-0.3835477893880853,27.850293150726657,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2778.882,2826.0001833349083,-0.2209,34.6595,-0.38485368980923745,27.850759788850382,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2782.789,2829.999592421545,-0.2209,34.658798,-0.3851753034123384,27.850207445811293,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2786.697,2834.000097595008,-0.2209,34.659599,-0.38550459212941773,27.85087089414833,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2790.604,2837.999651509404,-0.2219,34.658699,-0.3868042176861558,27.850205062375608,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2794.512,2842.00030153879,-0.2219,34.6581,-0.3871271305647415,27.849736060848954,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2798.419,2846.0000002631386,-0.2229,34.659801,-0.3884399248719414,27.85117418699201,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2802.326,2849.999771376522,-0.2239,34.658901,-0.3897401563482212,27.850508323916756,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2806.233,2853.9996148744876,-0.2239,34.659599,-0.3900700599138872,27.851088498491663,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2810.14,2857.999530752585,-0.2249,34.66,-0.39137711199147357,27.851475027510332,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2814.047,2861.999519006363,-0.2249,34.659401,-0.3917011094236512,27.85100604963918,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2817.954,2865.999579631372,-0.2259,34.659801,-0.3930085833381273,27.851391762002322,NA
SR04_06AQANTIX_2,95,342.7367,-69.0767,2821.861,2869.999712623158,-0.2269,34.660198,-0.39431624545524885,27.851775037154994,NA
